# Logfile created on 2025-09-02 16:29:52 +0200 by logger.rb/v1.5.3
2025-09-02 16:29:52 +0200: Memory Usage (419848K) : Starting running IHP-SG13G2 Klayout DRC runset on /foss/designs/PROJECTS/TO_July2025/30_MHz_Fractional_N_PLL/design_data/gds/FMD_QNC_PLL_3BIT_DIV.gds
2025-09-02 16:29:52 +0200: Memory Usage (419848K) : Ruby Version for klayout: 3.2.3
2025-09-02 16:29:52 +0200: Memory Usage (420924K) : Loading database to memory is complete.
2025-09-02 16:29:52 +0200: Memory Usage (420924K) : IHP-SG13G2 Klayout DRC runset output at: /foss/designs/PROJECTS/TO_July2025/30_MHz_Fractional_N_PLL/design_data/gds/drc_run_FMD_QNC_PLL_3BIT_DIV/FMD_QNC_PLL_3BIT_DIV_FMD_QNC_PLL_3BIT_DIV_main.lyrdb
2025-09-02 16:29:52 +0200: Memory Usage (420924K) : Evaluate switches.
2025-09-02 16:29:52 +0200: Memory Usage (420924K) : table_name selected  main
2025-09-02 16:29:52 +0200: Memory Usage (420924K) : Klayout will use 1 thread(s)
2025-09-02 16:29:52 +0200: Memory Usage (420924K) : deep mode is enabled for main table.
2025-09-02 16:29:52 +0200: Memory Usage (420924K) : FEOL enabled: true
2025-09-02 16:29:52 +0200: Memory Usage (420924K) : BEOL enabled: true
2025-09-02 16:29:52 +0200: Memory Usage (420924K) : OffGrid enabled: true
2025-09-02 16:29:52 +0200: Memory Usage (420924K) : PreCheck DRC enabled: false
2025-09-02 16:29:52 +0200: Memory Usage (420924K) : CONNECTIVITY_RULES enabled: true for table main
2025-09-02 16:29:52 +0200: Memory Usage (420924K) : Read in polygons from layers.
2025-09-02 16:29:52 +0200: Memory Usage (423180K) : activ_drw has 1171 polygons
2025-09-02 16:29:52 +0200: Memory Usage (423180K) : activ_pin has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (423504K) : activ_mask has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (423504K) : activ_filler has 5289 polygons
2025-09-02 16:29:52 +0200: Memory Usage (423504K) : activ_nofill has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (423504K) : activ_opc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (423504K) : activ_iopc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (423504K) : activ_noqrc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (423768K) : biwind_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (423768K) : biwind_opc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (423768K) : pemwind_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (423768K) : gatpoly_drw has 1046 polygons
2025-09-02 16:29:52 +0200: Memory Usage (423768K) : gatpoly_pin has 71 polygons
